Formula,Space group number,Band Gap (eV),Debye T (K)
AlBaF5,19,7.28,337
AlBaF5,14,7.08,286
AlBaF5,4,7.20,351
Al2Ba3F12,58,6.87,220
AlBa3F9,62,6.49,135
AlBa3F9,30,6.44,165
AlBa3F9,62,6.49,174
Al2Ba3N4,52,1.57,317
Al2BaO4,173,4.10,446
Al2BaO4,182,3.94,505
Al2BaO4,182,3.94,503
Al2Ba4O7,64,3.57,253
Al3Ba17O7,138,0.00,281
Al4BaS7,31,3.16,366
Al2BaS4,205,3.65,363
Al2Br7K,14,4.23,83
Al3Br12La,152,2.61,271
Al3Br12Nd,152,3.38,235
Al3Br12Pr,152,3.37,236
Al3C3Lu,194,0.15,651
Al2C2Mg,164,1.75,802
Al3C3Sc,194,0.03,803
Al3C3Sc,186,0.11,801
Al3C3Tm,194,0.06,638
AlCaF5,15,7.15,485
AlCaF5,14,7.14,454
AlCa2F7,62,7.14,387
Al2Ca3N4,19,2.20,641
Al2Ca3N4,14,2.29,645
Al2Ca3N4,15,2.53,659
AlCa3N3,14,2.46,584
Al12CaO19,194,4.32,806
Al12CaO19,194,4.32,806
Al4CaO7,15,4.00,716
Al2CaO4,173,4.19,684
Al2CaO4,62,4.85,785
Al2CaO4,14,4.39,642
Al2CaO4,14,4.39,610
Al2CaO4,11,4.98,753
Al6Ca4O13,217,3.62,654
Al6Ca4O13,60,3.90,609
Al6Ca4O13,217,3.62,653
Al6Ca5O14,36,4.23,617
Al2Ca2O5,46,3.56,715
Al2Ca3O6,205,4.27,518
Al2CaS4,70,3.61,431
AlCl4Cs,62,5.39,60
Al3Cl12Dy,151,4.26,322
Al3Cl12Ho,151,4.31,323
AlCl4K,4,5.29,160
AlCl4Li,14,5.56,109
Al2Cl8Mg,15,5.16,184
AlCl4Na,19,5.16,79
AlCl8Nb,63,2.04,50
Al3Cl12Tb,151,4.22,342
Al2Cl8Ti,14,0.06,185
Al2Cl8Ti,15,0.32,185
Al2Cl8V,15,1.63,185
Al3Cl12Y,151,4.03,352
AlCsF4,189,6.97,298
AlCsF4,62,6.74,146
AlCsO2,227,4.27,364
AlCs3O3,14,2.27,146
Al5Dy3O12,230,4.57,559
AlDyO3,62,5.72,472
Al5Er3O12,230,4.76,549
AlErO3,194,3.55,443
AlErO3,62,5.80,464
AlF4K,123,6.79,422
AlF4K,127,6.94,404
AlF4K,11,6.91,344
AlF5K2,123,6.32,310
AlF6Li3,15,7.69,457
AlF6Li3,33,7.92,519
AlF5Mg,71,4.75,458
AlF4Na,123,5.78,454
Al3F14Na5,128,6.55,278
AlF6Na3,71,5.89,362
AlF6Na3,14,6.71,354
AlF4Rb,123,6.88,380
AlF4Rb,127,6.94,371
AlF4Rb,59,6.94,339
AlF5Sr,79,7.09,322
AlF5Sr,14,7.25,291
Al2F16Sr5,68,6.93,205
Al5Gd3O12,230,3.46,602
